link_id,t_min,avg_weekday_speed_mph,length_mi,lanes,avg_weekday_flow_veh_per_hr_lane
2,705,69.6,0.483,1,1291.0
2,720,70.2,0.483,1,1215.0
2,735,70.2,0.483,1,1216.0
2,750,69.2,0.483,1,1344.0
2,765,69.2,0.483,1,1333.0
2,780,69.4,0.483,1,1304.0
2,795,69.6,0.483,1,1302.0
2,810,69.8,0.483,1,1281.0
2,825,69.5,0.483,1,1288.0
2,840,69.8,0.483,1,1286.0
2,855,69.4,0.483,1,1290.0
2,870,69.1,0.483,1,1352.0
2,885,69.3,0.483,1,1302.0
2,900,69.4,0.483,1,1277.0
2,915,69.4,0.483,1,1294.0
2,930,69.3,0.483,1,1300.0
2,945,67.1,0.483,1,1367.0
2,960,68.0,0.483,1,1286.0
2,975,68.0,0.483,1,1307.0
2,990,69.2,0.483,1,1310.0
2,1005,69.4,0.483,1,1279.0
2,1020,69.8,0.483,1,1287.0
2,1035,68.7,0.483,1,1350.0
2,1050,69.4,0.483,1,1317.0
2,1065,68.9,0.483,1,1348.0
2,1080,69.4,0.483,1,1309.0
2,1095,69.1,0.483,1,1326.0
2,1110,70.0,0.483,1,1261.0
2,1125,69.8,0.483,1,1278.0
2,1140,68.8,0.483,1,1355.0
2,1155,68.5,0.483,1,1416.0
2,1170,67.8,0.483,1,1511.0
2,1185,67.7,0.483,1,1471.0
2,1200,68.2,0.483,1,1428.0
2,1215,68.5,0.483,1,1429.0
2,1230,67.8,0.483,1,1455.0
2,1245,67.8,0.483,1,1487.0
2,1260,68.5,0.483,1,1395.0
2,1275,68.2,0.483,1,1409.0
2,1290,67.8,0.483,1,1474.0
2,1305,68.4,0.483,1,1427.0
2,1320,68.2,0.483,1,1466.0
2,1335,68.6,0.483,1,1414.0
2,1350,69.6,0.483,1,1339.0
2,1365,68.3,0.483,1,1427.0
2,1380,67.8,0.483,1,1475.0
2,1395,69.3,0.483,1,1394.0
2,1410,70.1,0.483,1,1326.0
2,1425,68.8,0.483,1,1404.0
3,0,67.1,0.324,1,1580.0
3,15,67.9,0.324,1,1505.0
3,30,68.5,0.324,1,1474.0
3,45,70.7,0.324,1,1328.0
3,60,71.8,0.324,1,1259.0
3,75,72.9,0.324,1,1228.0
3,90,72.3,0.324,1,1250.0
3,105,72.4,0.324,1,1241.0
3,120,72.0,0.324,1,1251.0
3,135,71.9,0.324,1,1244.0
3,150,72.5,0.324,1,1219.0
3,165,73.0,0.324,1,1218.0
3,180,73.2,0.324,1,1210.0
3,195,72.3,0.324,1,1196.0
3,210,71.5,0.324,1,1266.0
3,225,71.5,0.324,1,1265.0
3,240,70.3,0.324,1,1337.0
3,255,69.9,0.324,1,1323.0
3,270,71.9,0.324,1,1183.0
3,285,72.4,0.324,1,1163.0
3,300,72.0,0.324,1,1163.0
3,315,70.3,0.324,1,1271.0
3,330,70.4,0.324,1,1207.0
3,345,70.7,0.324,1,1220.0
3,360,70.2,0.324,1,1274.0
3,375,69.4,0.324,1,1305.0
3,390,69.1,0.324,1,1315.0
3,405,69.5,0.324,1,1307.0
3,420,69.1,0.324,1,1354.0
3,435,68.5,0.324,1,1377.0
3,450,68.4,0.324,1,1355.0
3,465,67.4,0.324,1,1533.0
3,480,68.3,0.324,1,1402.0
3,495,68.9,0.324,1,1325.0
3,510,69.5,0.324,1,1268.0
3,525,69.7,0.324,1,1234.0
3,540,69.8,0.324,1,1231.0
3,555,70.0,0.324,1,1247.0
3,570,70.4,0.324,1,1247.0
3,585,70.2,0.324,1,1230.0
3,600,70.1,0.324,1,1205.0
3,615,69.8,0.324,1,1255.0
3,630,69.5,0.324,1,1291.0
3,645,69.8,0.324,1,1285.0
3,660,69.8,0.324,1,1248.0
3,675,69.8,0.324,1,1253.0
3,690,69.8,0.324,1,1246.0
3,705,69.9,0.324,1,1251.0
3,720,70.4,0.324,1,1214.0
3,735,70.6,0.324,1,1204.0
3,750,69.5,0.324,1,1320.0
3,765,69.4,0.324,1,1328.0
3,780,70.0,0.324,1,1223.0
3,795,70.4,0.324,1,1215.0
3,810,70.1,0.324,1,1226.0
3,825,69.1,0.324,1,1336.0
3,840,69.6,0.324,1,1294.0
3,855,70.0,0.324,1,1244.0
3,870,69.5,0.324,1,1276.0
3,885,70.0,0.324,1,1208.0
3,900,69.6,0.324,1,1252.0
3,915,69.5,0.324,1,1268.0
3,930,69.5,0.324,1,1247.0
3,945,68.6,0.324,1,1351.0
3,960,68.4,0.324,1,1289.0
3,975,69.0,0.324,1,1325.0
3,990,70.1,0.324,1,1225.0
3,1005,69.4,0.324,1,1268.0
3,1020,69.7,0.324,1,1270.0
3,1035,69.1,0.324,1,1334.0
3,1050,69.9,0.324,1,1244.0
3,1065,69.4,0.324,1,1257.0
3,1080,69.9,0.324,1,1251.0
3,1095,70.1,0.324,1,1248.0
3,1110,70.6,0.324,1,1193.0
3,1125,70.0,0.324,1,1274.0
3,1140,68.9,0.324,1,1368.0
3,1155,68.3,0.324,1,1420.0
3,1170,68.4,0.324,1,1416.0
3,1185,68.1,0.324,1,1466.0
3,1200,68.0,0.324,1,1428.0
3,1215,68.5,0.324,1,1409.0
3,1230,67.8,0.324,1,1469.0
3,1245,68.5,0.324,1,1431.0
3,1260,68.5,0.324,1,1412.0
3,1275,67.5,0.324,1,1484.0
3,1290,67.7,0.324,1,1519.0
3,1305,68.0,0.324,1,1466.0
3,1320,67.8,0.324,1,1478.0
3,1335,68.9,0.324,1,1428.0
3,1350,70.0,0.324,1,1304.0
3,1365,69.3,0.324,1,1400.0
3,1380,68.4,0.324,1,1472.0
3,1395,69.7,0.324,1,1369.0
3,1410,69.6,0.324,1,1400.0
3,1425,68.3,0.324,1,1498.0
4,0,67.2,1.831,1,1575.0
4,15,66.6,1.831,1,1610.0
4,30,67.5,1.831,1,1548.0
4,45,69.4,1.831,1,1385.0
4,60,71.2,1.831,1,1251.0
4,75,71.9,1.831,1,1217.0
4,90,71.7,1.831,1,1231.0
4,105,71.6,1.831,1,1248.0
4,120,71.5,1.831,1,1242.0
4,135,71.1,1.831,1,1266.0
4,150,71.4,1.831,1,1251.0
4,165,72.0,1.831,1,1220.0
4,180,72.4,1.831,1,1213.0
4,195,71.6,1.831,1,1184.0
4,210,71.2,1.831,1,1224.0
4,225,71.9,1.831,1,1220.0
4,240,71.4,1.831,1,1205.0
4,255,70.8,1.831,1,1255.0
4,270,71.7,1.831,1,1175.0
4,285,72.5,1.831,1,1163.0
4,300,71.7,1.831,1,1163.0
4,315,71.1,1.831,1,1185.0
4,330,70.8,1.831,1,1172.0
4,345,71.1,1.831,1,1173.0
4,360,71.4,1.831,1,1191.0
4,375,71.6,1.831,1,1163.0
4,390,70.6,1.831,1,1227.0
4,405,70.1,1.831,1,1271.0
4,420,69.6,1.831,1,1297.0
4,435,69.0,1.831,1,1371.0
4,450,68.0,1.831,1,1453.0
4,465,68.3,1.831,1,1407.0
4,480,67.5,1.831,1,1467.0
4,495,68.7,1.831,1,1392.0
4,510,69.1,1.831,1,1338.0
4,525,69.2,1.831,1,1293.0
4,540,69.9,1.831,1,1249.0
4,555,69.9,1.831,1,1260.0
4,570,70.7,1.831,1,1243.0
4,585,70.7,1.831,1,1229.0
4,600,69.8,1.831,1,1254.0
4,615,70.0,1.831,1,1232.0
4,630,70.3,1.831,1,1213.0
4,645,70.7,1.831,1,1217.0
4,660,70.3,1.831,1,1201.0
4,675,70.3,1.831,1,1203.0
4,690,70.5,1.831,1,1185.0
4,705,70.3,1.831,1,1213.0
4,720,70.7,1.831,1,1185.0
4,735,71.0,1.831,1,1184.0
4,750,69.9,1.831,1,1267.0
4,765,70.2,1.831,1,1265.0
4,780,70.5,1.831,1,1198.0
4,795,70.6,1.831,1,1187.0
4,810,70.5,1.831,1,1186.0
4,825,69.7,1.831,1,1292.0
4,840,70.3,1.831,1,1240.0
4,855,70.9,1.831,1,1186.0
4,870,70.1,1.831,1,1215.0
4,885,70.2,1.831,1,1212.0
4,900,68.4,1.831,1,1343.0
4,915,67.7,1.831,1,1336.0
4,930,67.0,1.831,1,1251.0
4,945,65.5,1.831,1,1353.0
4,960,64.8,1.831,1,1300.0
4,975,66.5,1.831,1,1325.0
4,990,69.6,1.831,1,1217.0
4,1005,70.4,1.831,1,1223.0
4,1020,70.0,1.831,1,1243.0
4,1035,69.8,1.831,1,1277.0
4,1050,70.2,1.831,1,1220.0
4,1065,69.2,1.831,1,1259.0
4,1080,70.0,1.831,1,1259.0
4,1095,70.3,1.831,1,1226.0
4,1110,70.5,1.831,1,1224.0
4,1125,69.9,1.831,1,1262.0
4,1140,69.1,1.831,1,1331.0
4,1155,68.9,1.831,1,1358.0
4,1170,69.3,1.831,1,1305.0
