link_id,t_min,avg_weekday_speed_mph,length_mi,lanes,avg_weekday_flow_veh_per_hr_lane
716626,0,71.3,0.26,5,372.0
716626,15,70.3,0.26,5,342.0
716626,30,70.0,0.26,5,318.0
716626,45,69.7,0.26,5,287.0
716626,60,69.2,0.26,5,278.0
716626,75,69.1,0.26,5,239.0
716626,90,69.0,0.26,5,228.0
716626,105,69.0,0.26,5,210.0
716626,120,68.8,0.26,5,194.0
716626,135,69.1,0.26,5,207.0
716626,150,69.0,0.26,5,206.0
716626,165,68.8,0.26,5,197.0
716626,180,68.9,0.26,5,211.0
716626,195,69.1,0.26,5,206.0
716626,210,69.4,0.26,5,225.0
716626,225,69.3,0.26,5,237.0
716626,240,69.4,0.26,5,246.0
716626,255,70.0,0.26,5,337.0
716626,270,72.0,0.26,5,432.0
716626,285,71.4,0.26,5,424.0
716626,300,71.6,0.26,5,520.0
716626,315,71.9,0.26,5,764.0
716626,330,71.7,0.26,5,1023.0
716626,345,71.6,0.26,5,1141.0
716626,360,68.8,0.26,5,1274.0
716626,375,68.4,0.26,5,1362.0
716626,390,68.3,0.26,5,1399.0
716626,405,68.3,0.26,5,1405.0
716626,420,68.0,0.26,5,1478.0
716626,435,67.1,0.26,5,1575.0
716626,450,64.7,0.26,5,1635.0
716626,465,63.3,0.26,5,1580.0
716626,480,65.4,0.26,5,1484.0
716626,495,66.5,0.26,5,1448.0
716626,510,66.2,0.26,5,1420.0
716626,525,66.8,0.26,5,1360.0
716626,540,67.0,0.26,5,1307.0
716626,555,65.9,0.26,5,1349.0
716626,570,65.0,0.26,5,1315.0
716626,585,65.4,0.26,5,1290.0
716626,600,65.5,0.26,5,1281.0
716626,615,65.9,0.26,5,1315.0
716626,630,65.6,0.26,5,1369.0
716626,645,65.0,0.26,5,1343.0
716626,660,65.2,0.26,5,1326.0
716626,675,65.2,0.26,5,1373.0
716626,690,64.6,0.26,5,1406.0
716626,705,63.7,0.26,5,1453.0
716626,720,64.0,0.26,5,1471.0
716626,735,62.8,0.26,5,1479.0
716626,750,60.6,0.26,5,1477.0
716626,765,60.9,0.26,5,1441.0
716626,780,59.9,0.26,5,1461.0
716626,795,58.7,0.26,5,1496.0
716626,810,57.9,0.26,5,1523.0
716626,825,54.7,0.26,5,1536.0
716626,840,51.8,0.26,5,1525.0
716626,855,47.6,0.26,5,1552.0
716626,870,44.8,0.26,5,1534.0
716626,885,41.8,0.26,5,1513.0
716626,900,41.3,0.26,5,1543.0
716626,915,38.4,0.26,5,1482.0
716626,930,38.3,0.26,5,1488.0
716626,945,36.4,0.26,5,1458.0
716626,960,35.9,0.26,5,1458.0
716626,975,35.5,0.26,5,1461.0
716626,990,35.5,0.26,5,1442.0
716626,1005,35.3,0.26,5,1448.0
716626,1020,35.3,0.26,5,1445.0
716626,1035,35.9,0.26,5,1484.0
716626,1050,36.6,0.26,5,1486.0
716626,1065,37.5,0.26,5,1483.0
716626,1080,39.1,0.26,5,1514.0
716626,1095,39.0,0.26,5,1482.0
716626,1110,41.2,0.26,5,1445.0
716626,1125,48.1,0.26,5,1461.0
716626,1140,51.3,0.26,5,1409.0
716626,1155,51.3,0.26,5,1383.0
716626,1170,53.0,0.26,5,1324.0
716626,1185,56.4,0.26,5,1304.0
716626,1200,59.8,0.26,5,1263.0
716626,1215,63.2,0.26,5,1203.0
716626,1230,67.3,0.26,5,1097.0
716626,1245,69.9,0.26,5,1034.0
716626,1260,70.5,0.26,5,1030.0
716626,1275,70.8,0.26,5,971.0
716626,1290,71.3,0.26,5,935.0
716626,1305,72.6,0.26,5,866.0
716626,1320,71.5,0.26,5,811.0
