link_id,t_min,avg_weekday_speed_mph,length_mi,lanes,avg_weekday_flow_veh_per_hr_lane
1,0,58.0,1.063,1,2112.0
1,15,57.7,1.063,1,2117.0
1,30,58.2,1.063,1,2104.0
1,45,57.5,1.063,1,2122.0
1,60,57.5,1.063,1,2112.0
1,75,57.3,1.063,1,2123.0
1,90,57.6,1.063,1,2122.0
1,105,57.0,1.063,1,2129.0
1,120,55.9,1.063,1,2145.0
1,135,55.8,1.063,1,2141.0
1,150,55.7,1.063,1,2144.0
1,165,55.6,1.063,1,2147.0
1,180,55.3,1.063,1,2154.0
1,195,55.5,1.063,1,2147.0
1,210,55.6,1.063,1,2135.0
1,225,57.0,1.063,1,2124.0
1,240,57.7,1.063,1,2107.0
1,255,58.3,1.063,1,2098.0
1,270,58.8,1.063,1,2072.0
1,285,59.5,1.063,1,2066.0
1,300,59.4,1.063,1,2074.0
1,315,59.1,1.063,1,2082.0
1,330,59.1,1.063,1,2083.0
1,345,59.5,1.063,1,2066.0
1,360,59.0,1.063,1,2086.0
1,375,59.5,1.063,1,2074.0
1,390,58.6,1.063,1,2095.0
1,405,57.5,1.063,1,2123.0
1,420,58.6,1.063,1,2097.0
1,435,57.8,1.063,1,2119.0
1,450,58.2,1.063,1,2095.0
1,465,59.0,1.063,1,2083.0
1,480,58.2,1.063,1,2102.0
1,495,58.2,1.063,1,2100.0
1,510,58.9,1.063,1,2087.0
1,525,58.7,1.063,1,2093.0
1,540,58.8,1.063,1,2095.0
1,555,58.2,1.063,1,2106.0
1,570,58.0,1.063,1,2115.0
1,585,57.7,1.063,1,2121.0
1,600,58.0,1.063,1,2115.0
1,615,57.9,1.063,1,2118.0
1,630,58.4,1.063,1,2108.0
1,645,58.1,1.063,1,2112.0
1,660,58.2,1.063,1,2112.0
1,675,57.5,1.063,1,2125.0
1,690,58.3,1.063,1,2103.0
1,705,58.3,1.063,1,2107.0
1,720,58.0,1.063,1,2116.0
1,735,57.8,1.063,1,2120.0
1,750,57.6,1.063,1,2122.0
1,765,57.4,1.063,1,2127.0
1,780,58.1,1.063,1,2112.0
1,795,58.0,1.063,1,2116.0
1,810,57.6,1.063,1,2125.0
