link_id,t_min,avg_weekday_speed_mph,length_mi,lanes,avg_weekday_flow_veh_per_hr_lane
78,420.0,64.2,1.04,4,1325.0
78,435.0,64.1,1.04,4,1374.0
78,450.0,63.9,1.04,4,1399.0
78,465.0,64.0,1.04,4,1353.0
78,480.0,64.2,1.04,4,1231.0
78,495.0,64.1,1.04,4,1241.0
78,510.0,63.9,1.04,4,1271.0
78,525.0,63.8,1.04,4,1235.0
78,540.0,63.8,1.04,4,1231.0
78,555.0,63.9,1.04,4,1256.0
78,570.0,64.0,1.04,4,1292.0
78,585.0,63.9,1.04,4,1283.0
78,600.0,63.9,1.04,4,1238.0
78,615.0,63.8,1.04,4,1287.0
78,630.0,63.4,1.04,4,1331.0
78,645.0,63.3,1.04,4,1345.0
78,660.0,63.6,1.04,4,1350.0
78,675.0,63.4,1.04,4,1369.0
78,690.0,62.7,1.04,4,1396.0
78,705.0,61.9,1.04,4,1415.0
78,720.0,61.2,1.04,4,1429.0
78,735.0,59.4,1.04,4,1462.0
78,750.0,58.1,1.04,4,1453.0
78,765.0,57.7,1.04,4,1435.0
78,780.0,57.8,1.04,4,1450.0
78,795.0,55.7,1.04,4,1473.0
78,810.0,52.9,1.04,4,1478.0
78,825.0,49.2,1.04,4,1429.0
78,840.0,48.5,1.04,4,1404.0
78,855.0,45.9,1.04,4,1367.0
78,870.0,43.3,1.04,4,1343.0
78,885.0,39.2,1.04,4,1272.0
78,900.0,35.6,1.04,4,1209.0
78,915.0,30.0,1.04,4,1127.0
78,930.0,28.5,1.04,4,1092.0
78,945.0,23.1,1.04,4,1050.0
78,960.0,21.6,1.04,4,1006.0
78,975.0,18.6,1.04,4,959.0
78,990.0,16.5,1.04,4,943.0
78,1005.0,14.6,1.04,4,913.0
78,1020.0,13.4,1.04,4,887.0
78,1035.0,13.0,1.04,4,861.0
78,1050.0,13.4,1.04,4,875.0
78,1065.0,15.9,1.04,4,907.0
78,1080.0,20.8,1.04,4,974.0
78,1095.0,25.9,1.04,4,1046.0
78,1110.0,33.4,1.04,4,1110.0
78,1125.0,42.1,1.04,4,1163.0
78,1140.0,50.7,1.04,4,1181.0
78,1155.0,55.2,1.04,4,1247.0
78,1170.0,58.5,1.04,4,1225.0
78,1185.0,61.0,1.04,4,1179.0
78,1200.0,62.7,1.04,4,1122.0
78,1215.0,62.9,1.04,4,1152.0
78,1230.0,63.0,1.04,4,1079.0
78,1245.0,63.1,1.04,4,1046.0
84,420.0,65.5,1.14,4,1515.0
84,435.0,64.6,1.14,4,1575.0
84,450.0,64.1,1.14,4,1592.0
84,465.0,64.3,1.14,4,1546.0
84,480.0,64.4,1.14,4,1428.0
84,495.0,64.2,1.14,4,1435.0
84,510.0,63.7,1.14,4,1477.0
84,525.0,63.9,1.14,4,1451.0
84,540.0,63.5,1.14,4,1439.0
84,555.0,64.0,1.14,4,1449.0
84,570.0,63.8,1.14,4,1489.0
84,585.0,64.1,1.14,4,1463.0
84,600.0,64.7,1.14,4,1373.0
84,615.0,64.7,1.14,4,1434.0
84,630.0,64.5,1.14,4,1472.0
84,645.0,64.5,1.14,4,1483.0
84,660.0,64.7,1.14,4,1473.0
84,675.0,64.3,1.14,4,1516.0
84,690.0,63.9,1.14,4,1541.0
84,705.0,63.5,1.14,4,1568.0
84,720.0,62.4,1.14,4,1580.0
84,735.0,61.0,1.14,4,1640.0
